City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
543,Tianpeng,CN,69.85,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
547,Belmonte,BR,72.46,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
548,Sao Cristovao,BR,76.91,few clouds,-11.0147,-37.2064,Hotel deimar
550,Naze,JP,77.92,moderate rain,28.3667,129.4833,Shishime Hotel
554,Vila Velha,BR,66.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
555,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
557,Saraikela,IN,75.87,overcast clouds,22.7167,85.95,Sikendra Mahato
559,Marzuq,YE,82.18,broken clouds,14.4,46.4667,حيد القفلة
560,Tucupita,VE,74.8,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
563,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
564,Yatou,CN,66.47,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
565,Panalingaan,PH,78.08,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
566,Sibolga,ID,73.98,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
568,Pacific Grove,US,75.38,scattered clouds,36.6177,-121.9166,Lovers Point Inn
